PROJECT	TIMEPOINT	proj_min_commit_fraction	proj_max_commit_fraction
AES	2020013121	1.0	1.0
AES	2020013122	1.0	1.0
AES	2020013123	1.0	1.0
AES	2020020100	1.0	1.0
AES	2020020101	1.0	1.0
AES	2020020102	1.0	1.0
AES	2020020103	1.0	1.0
AES	2020020104	1.0	1.0
AES	2020020105	1.0	1.0
AES	2020020106	1.0	1.0
AES	2020020107	1.0	1.0
AES	2020020108	1.0	1.0
AES	2020020109	1.0	1.0
AES	2020020110	1.0	1.0
AES	2020020111	1.0	1.0
AES	2020020112	1.0	1.0
AES	2020020113	1.0	1.0
AES	2020020114	1.0	1.0
AES	2020020115	1.0	1.0
AES	2020020116	1.0	1.0
AES	2020020117	1.0	1.0
AES	2020020118	1.0	1.0
AES	2020020119	1.0	1.0
AES	2020020120	1.0	1.0
AES	2020020121	1.0	1.0
AES	2020020122	1.0	1.0
AES	2020020123	1.0	1.0
AES	2020020200	1.0	1.0
AES	2020020201	1.0	1.0
AES	2020020202	1.0	1.0
AES	2020020203	1.0	1.0
AES	2020020204	1.0	1.0
AES	2020020205	1.0	1.0
AES	2020020206	1.0	1.0
AES	2020020207	1.0	1.0
AES	2020020208	1.0	1.0
AES	2020020209	1.0	1.0
AES	2020020210	1.0	1.0
AES	2020020211	1.0	1.0
AES	2020020212	1.0	1.0
AES	2020020213	1.0	1.0
AES	2020020214	1.0	1.0
AES	2020020215	1.0	1.0
AES	2020020216	1.0	1.0
AES	2020020217	1.0	1.0
AES	2020020218	1.0	1.0
AES	2020020219	1.0	1.0
AES	2020020220	1.0	1.0
AES	2020020221	1.0	1.0
AES	2020020222	1.0	1.0
AES	2020020223	1.0	1.0
AES	2020020300	1.0	1.0
AES	2020020301	1.0	1.0
AES	2020020302	1.0	1.0
AES	2020020303	1.0	1.0
AES	2020020304	1.0	1.0
AES	2020020305	1.0	1.0
AES	2020020306	1.0	1.0
AES	2020020307	1.0	1.0
AES	2020020308	1.0	1.0
AES	2020020309	1.0	1.0
AES	2020020310	1.0	1.0
AES	2020020311	1.0	1.0
AES	2020020312	1.0	1.0
AES	2020020313	1.0	1.0
AES	2020020314	1.0	1.0
AES	2020020315	1.0	1.0
AES	2020020316	1.0	1.0
AES	2020020317	1.0	1.0
AES	2020020318	1.0	1.0
AES	2020020319	1.0	1.0
AES	2020020320	1.0	1.0
AES	2020020321	1.0	1.0
AES	2020020322	1.0	1.0
AES	2020020323	1.0	1.0
AES	2020020400	1.0	1.0
AES	2020020401	1.0	1.0
AES	2020020402	1.0	1.0
AES	2020020403	1.0	1.0
