PROJECT	timepoint	proj_max_capacity_factor
Oahu_Central_PV	2020062612	0.6350515
Oahu_Central_PV	2020062613	0.7877135
Oahu_Central_PV	2020062614	0.753791
Oahu_Central_PV	2020062615	0.501155
Oahu_Central_PV	2020062616	0.7928035
Oahu_Central_PV	2020062617	0.6383985
Oahu_Central_PV	2020062618	0.23634699999999997
Oahu_Central_PV	2020062619	0.030479500000000003
Oahu_Central_PV	2020062620	0.0
Oahu_Central_PV	2020062621	0.0
Oahu_Central_PV	2020062622	0.0
Oahu_Central_PV	2020062623	0.0
Oahu_Central_PV	2020062700	0.0
Oahu_Central_PV	2020062701	0.0
Oahu_Central_PV	2020062702	0.0
Oahu_Central_PV	2020062703	0.0
Oahu_Central_PV	2020062704	0.0
Oahu_Central_PV	2020062705	0.0
Oahu_Central_PV	2020062706	0.00042750000000000004
Oahu_Central_PV	2020062707	0.1106185
Oahu_Central_PV	2020062708	0.302145
Oahu_Central_PV	2020062709	0.408112
Oahu_Central_PV	2020062710	0.5657535
Oahu_Central_PV	2020062711	0.4848405
Oahu_Central_PV	2020062712	0.42871899999999996
Oahu_Central_PV	2020062713	0.4306105
Oahu_Central_PV	2020062714	0.41686999999999996
Oahu_Central_PV	2020062715	0.3298785
Oahu_Central_PV	2020062716	0.322386
Oahu_Central_PV	2020062717	0.2989555
Oahu_Central_PV	2020062718	0.21173999999999998
Oahu_Central_PV	2020062719	0.0328105
Oahu_Central_PV	2020062720	0.0
Oahu_Central_PV	2020062721	0.0
Oahu_Central_PV	2020062722	0.0
Oahu_Central_PV	2020062723	0.0
Oahu_Central_PV	2020062800	0.0
Oahu_Central_PV	2020062801	0.0
Oahu_Central_PV	2020062802	0.0
Oahu_Central_PV	2020062803	0.0
Oahu_Central_PV	2020062804	0.0
Oahu_Central_PV	2020062805	0.0
Oahu_Central_PV	2020062806	0.0003415
Oahu_Central_PV	2020062807	0.262335
Oahu_Central_PV	2020062808	0.3923785
Oahu_Central_PV	2020062809	0.44756799999999997
Oahu_Central_PV	2020062810	0.6643015
Oahu_Central_PV	2020062811	0.6691905
